"name","ring","quadrant","isNew","status","description"
ASP.NET Core,adopt,Frameworks and libraries,FALSE,no change,"<p><strong><a href=""https://learn.microsoft.com/en-us/aspnet/overview"">ASP.NET Core</a></strong> is a modern, high-performance, open-source framework for building web applications and APIs. It is cross-platform, running on Windows, Linux, and macOS, and is designed for cloud and container-based deployments. It enables developers to build web apps, <a href=""https://learn.microsoft.com/en-us/aspnet/core/web-api/"">RESTful services</a>, and real-time applications using <strong>C#</strong> and <strong>.NET.</strong></p> <p>Key features include built-in dependency injection, a powerful middleware pipeline, unified <strong>MVC and Web API architecture</strong>, and support for <strong><a href=""https://learn.microsoft.com/en-us/aspnet/core/razor-pages/"">Razor Pages</a></strong> and <strong><a href=""https://learn.microsoft.com/en-us/aspnet/core/blazor/"">Blazor</a></strong>. <strong>ASP.NET Core</strong> is optimized for <a href=""https://learn.microsoft.com/en-us/aspnet/core/cloud/"">cloud</a> hosting and scalable deployments, and benefits from regular updates and strong community support.  <strong>ASP.NET Core</strong> is well adopted by teams within organization and developers can build robust, scalable, and maintainable applications using the latest technologies and best practices.</p>"
Entity Framework Core,adopt,Frameworks and libraries,FALSE,no change,"<p><strong><a href=""https://learn.microsoft.com/en-us/ef/core/"">Entity Framework Core</a></strong> is a modern, open-source object-database mapper for .NET. It <strong>simplifies data access</strong> by allowing developers to work with databases using .NET objects, reducing the need for boilerplate SQL code and improving productivity. EF Core is <strong>highly practical for most application scenarios</strong>, offering strong integration with modern .NET, support for LINQ queries, migrations, and a <strong>wide range of relational databases</strong>.</p> <p>While EF Core is <strong>suitable for the majority of use cases</strong>, it is <strong>not a silver bullet</strong> — projects with extremely high performance or complex data access requirements may benefit from alternative solutions. For most applications, however, EF Core provides an efficient, maintainable, and developer-friendly approach to data access.</p>"
Hibernate,adopt,Frameworks and libraries,FALSE,no change,"<p><a href=""https://hibernate.org/"">Hibernate</a> is a mature and widely adopted <strong>object-relational mapping</strong> (ORM) framework for Java, designed to simplify database interactions by mapping Java objects to relational database tables. It provides powerful features such as automatic SQL generation, caching, lazy loading, and transaction management, which help reduce boilerplate code and improve productivity. Hibernate also supports complex queries through HQL (Hibernate Query Language) and integrates seamlessly with popular Java frameworks like Spring. Its advantages include reducing development time, promoting maintainable and modular code, and supporting database portability. However, developers should be cautious, as improper configuration or misuse of features like lazy loading can lead to performance issues. Overall, Hibernate is a robust and proven technology, recommended for projects that require efficient and maintainable database interaction in Java applications.</p>"
OpenTelemetry SDKs,adopt,Frameworks and libraries,FALSE,no change,"<p>OpenTelemetry SDKs provide language-specific libraries for capturing traces, metrics and logs and exporting them to observability backends. Using the official OpenTelemetry SDKs ensures consistent telemetry signal structure across services, simplifies instrumentation, and enables vendor-neutral export through OTLP.</p> <p>Adopt OpenTelemetry SDKs for new services and when standardising observability across the platform. Prefer the official SDKs and stable exporters, follow semantic conventions, and centralise configuration (exporter endpoints, resource attributes) via environment variables or a shared configuration library.</p> <p>Notes: SDKs require careful sampling and resource tagging to avoid high cardinality and cost. When migrating, start with traces or metrics incrementally, validate dashboards and alerts, and ensure backwards compatibility for service-level SLIs.</p> <p>References: <a href=""https://opentelemetry.io/"">https://opentelemetry.io/</a></p>"
React JS,adopt,Frameworks and libraries,FALSE,moved in,"<p>In the crowded landscape of front-end <a href=""https://ossinsight.io/collections/javascript-framework/"">JavaScript frameworks</a>,  <a href=""https://react.dev/"">React.js</a> has proven itself through its declarative programming model, unidirectional data flow, and component-based architecture, which together simplify rendering, promote code reuse, and improve maintainability. Its Virtual DOM diffing enhances performance by minimizing unnecessary DOM operations, and a rich ecosystem of libraries combined with strong community support accelerates development and troubleshooting.</p> <p>React.js is a mature and well-established framework, widely used across the globe — with surveys consistently ranking it among the top front-end frameworks. Beyond its technical merits, React has emerged as a strong choice in the era of AI-assisted development: its declarative, component-based model is well-suited for code generation tools, and the vast amount of React code in public repositories means LLMs produce high-quality, reliable React code out of the box. This makes it easier to leverage AI pair-programming tools effectively across teams of varying experience levels.</p> <p>Based on successful adoption across projects of varying sizes, we are moving React.js from Trial to Adopt.</p>"
Spring Boot,adopt,Frameworks and libraries,FALSE,no change,"<p><a href=""https://docs.spring.io/spring-boot/reference/index.html"">Spring Boot</a> enables rapid development while maintaining robustness and enterprise-grade capabilities.  Its ecosystem integration with Spring Cloud, Kubernetes, Docker, and observability tools makes it highly suitable for modern distributed architectures.  With strong community support and continuous evolution, Spring Boot remains one of the most stable and mature options in the Java ecosystem. While the framework simplifies setup, it can abstract away complexity, which may lead to reduced control over fine-grained configurations.  Memory usage can be higher compared to lighter frameworks, and teams should ensure proper understanding of auto-configuration behaviors to avoid hidden performance costs. Spring Boot is recommended for teams building scalable microservices or modular monolithic applications who want a mature ecosystem and strong support for DevOps practices. It should be considered a default choice for Java backend development unless specific performance constraints justify exploring lighter alternatives.</p>"
Testcontainers,adopt,Frameworks and libraries,FALSE,moved in,"<p><a href=""https://testcontainers.com/"">Testcontainers</a> is a library that provides lightweight, throwaway instances of databases, message brokers, web browsers, and other services running in Docker containers for integration testing. Originally developed for Java, Testcontainers now supports multiple languages including Python, Go, .NET, Node.js, and Rust, making it a polyglot solution for integration testing challenges. We&#39;re seeing strong adoption of Testcontainers as it addresses a longstanding pain point in integration testing — the gap between local development environments and production infrastructure. The library enables developers to write tests against real services rather than mocks or in-memory alternatives, significantly improving test reliability and confidence. Testcontainers supports a wide range of technologies through official modules (PostgreSQL, MySQL, Kafka, Redis, etc.) and generic container support for custom scenarios. Teams report that while initial setup requires Docker infrastructure, the investment pays off through reduced environment-related test failures and simplified CI/CD pipelines.</p> <p>We&#39;re moving Testcontainers to <strong>adopt</strong> based on successful implementations across multiple projects in the group — integration tests now run against real <a href=""PostgreSQL"">PostgreSQL</a>, <a href=""Kafka"">Kafka</a>, <a href=""Redis"">Redis</a>, <a href=""https://github.com/shopify/toxiproxy"">Toxiproxy</a>, and other services with high reliability and acceptable runtime cost. The main considerations are Docker runtime requirements in CI and slightly longer test execution times than in-memory alternatives, but the trade-off is worth it for any non-trivial integration testing. Teams should ensure their CI environments support Docker and prefer Testcontainers as the default, falling back to mocks only where container start-up cost cannot be accommodated across the suite.</p>"
Angular Material,trial,Frameworks and libraries,FALSE,no change,"<p><a href=""https://material.angular.dev/"">Angular Material</a> is a UI component library developed by the Angular team that implements Google’s Material Design principles for Angular applications. It provides a rich set of reusable, accessible, and responsive components such as buttons, dialogs, tables, form controls, and navigation elements. Built with Angular’s component-based architecture, Angular Material ensures seamless integration with Angular’s reactive forms, routing, and theming system. It supports customizable themes, dark mode, and internationalization, making it suitable for enterprise-grade applications. The library emphasizes accessibility (ARIA support) and performance, while offering utilities like CDK (Component Dev Kit) for building custom components. By standardizing on UI patterns from Google Material Design system, Angular Material accelerates development, improves consistency, and reduces design complexity in modern web applications.</p> <p>Angular Material is already in use across multiple projects in the group for internal agent-facing UI (where customer&#39;s do not expect their own design system) where it has proven valuable by providing ease of development and consistent styling across applications developed by disparate teams. Teams using Angular and building applications that do need to conform to specific design system are encouraged to try it.</p>"
Angular,trial,Frameworks and libraries,FALSE,no change,"<p><a href=""https://angular.dev/"">Angular</a> is a comprehensive <a href=""https://www.typescriptlang.org/"">TypeScript</a>-based framework for building scalable single-page applications with opinionated patterns enforced through components, services, dependency injection, and a powerful CLI. The framework provides integrated solutions for routing, forms, HTTP clients, and testing with strong TypeScript and <a href=""https://rxjs.dev/"">RxJS</a> integration enabling sophisticated reactive data flows valuable in complex enterprise applications. <a href=""Angular Material"">Angular Material</a> offers production-ready UI components, while recent signals and improved change detection in Angular 16+ address performance concerns. The learning curve around RxJS and framework architecture is steeper than minimalist alternatives, and bundle sizes tend larger though lazy loading and build optimization mitigate production impact. Trial Angular for large-scale enterprise applications where teams value structure, comprehensive tooling, and consistent patterns across multiple teams requiring strong typing guarantees.</p>"
Cypress,trial,Frameworks and libraries,FALSE,moved in,"<p><a href=""https://www.cypress.io/"">Cypress</a> is a JavaScript-based end-to-end testing framework that runs directly in the browser, offering a fundamentally different architecture from traditional Selenium-based tools. We&#39;re seeing increasing interest in Cypress due to its developer-friendly API, automatic waiting mechanisms, and superior debugging capabilities with time-travel snapshots. The framework excels at testing modern single-page applications and provides built-in support for API testing alongside UI tests. However, teams should be aware of its browser limitations—while it supports Chrome, Edge, and Firefox well, Safari support remains limited to paid tiers.</p> <p>We&#39;re moving Cypress to <strong>trial</strong> as multiple teams have adopted it on greenfield projects and seen real gains in test reliability, debugging speed and developer experience over Selenium-era tools. Projects with existing Selenium investments should still weigh migration effort and team training; teams choosing between Cypress and <a href=""Playwright"">Playwright</a> should compare cross-browser support and runtime architecture against their app&#39;s needs. Despite these considerations, Cypress&#39;s architecture addresses many pain points of traditional E2E testing, making it a compelling option for teams struggling with test reliability and maintenance overhead.</p>"
