quadrant,canonicalName,ecosystem,categoryName,description,status,aliases
Tools,Containers and K8S on dev machine,,,blipped on 2025 radar,,
Tools,Figma,,,blipped on 2025 radar,,
Tools,Git,,,blipped on 2025 radar,,
Tools,GitHub,,,blipped on 2025 radar,,
Tools,GitLab,,,blipped on 2025 radar,,
Tools,Harbor,,,blipped on 2025 radar,,
Tools,Helm,,,blipped on 2025 radar,,
Tools,Jira,,,blipped on 2025 radar,,
Tools,Mermaid,,,blipped on 2025 radar,,
Tools,Postman,,,blipped on 2025 radar,,
Tools,Trivy,,,blipped on 2025 radar,,
Tools,AI coding assistants,,,blipped on 2025 radar,,
Tools,Helmfile,,,blipped on 2025 radar,,
Tools,Shared credentials management,,,blipped on 2025 radar,,
Tools,SonarQube,,,blipped on 2025 radar,,
Tools,Test management tools,,,blipped on 2025 radar,,
Tools,ZAP (OWASP ZAP),,,blipped on 2025 radar,,
Tools,Agentic workflow tools,,,blipped on 2025 radar,,
Tools,Atlas,,,blipped on 2025 radar,,
Tools,GitHub Actions,,,blipped on 2025 radar,,
Tools,Grafana observability stack for IM and APM,,,blipped on 2025 radar,,
Tools,K6,,,blipped on 2025 radar,,
Tools,Playwright,,,blipped on 2025 radar,,
Tools,Azure DevOps,,,blipped on 2025 radar,,
Tools,Docker Desktop,,,blipped on 2025 radar,,
